"Time","Output_Var","Prediction.2.5.","Prediction.5.","Prediction.10.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.90.","Prediction.95.","Prediction.97.5."
1,"CumDeath",0,0,0,0,0,0,0,0,0
2,"CumDeath",0,0,0,0,0,0,0,0,0
3,"CumDeath",0,0,0,0,0,0,0,0,0
4,"CumDeath",0,0,0,0,0,0,0,0,0
5,"CumDeath",0,0,0,0,0,0,0,4.00709299999997e-09,1.8706075e-08
6,"CumDeath",0,0,0,0,0,0,1.171891e-08,4.7895135e-08,1.210366e-07
7,"CumDeath",0,0,0,0,0,2.6695475e-09,6.69259700000001e-08,1.577945e-07,2.54806925e-07
8,"CumDeath",0,0,0,0,0,4.4970725e-08,1.750108e-07,2.95226499999999e-07,4.65166624999999e-07
9,"CumDeath",0,0,0,0,1.934545e-08,1.1692475e-07,3.519682e-07,5.5520095e-07,7.2046675e-07
10,"CumDeath",0,0,0,5.1246175e-09,8.454565e-08,2.42325e-07,5.19355e-07,8.15279599999998e-07,1.05910075e-06
11,"CumDeath",0,0,1.920224e-09,4.9585525e-08,1.7025e-07,3.906505e-07,7.830555e-07,1.1292955e-06,1.43802425e-06
12,"CumDeath",0,6.6361345e-09,3.880109e-08,1.1214675e-07,2.80304e-07,5.51317e-07,1.006014e-06,1.39527449999999e-06,1.8417015e-06
13,"CumDeath",1.739945e-08,4.983219e-08,8.381298e-08,2.112655e-07,4.045445e-07,7.67039e-07,1.294874e-06,1.8307735e-06,2.2287305e-06
14,"CumDeath",6.4082775e-08,9.7098035e-08,1.484377e-07,3.064455e-07,5.60716e-07,9.7098375e-07,1.624329e-06,2.1690515e-06,2.72981175e-06
15,"CumDeath",1.16613225e-07,1.5013525e-07,2.154245e-07,4.1879525e-07,7.28373e-07,1.235455e-06,1.962979e-06,2.5630265e-06,3.1459085e-06
16,"CumDeath",1.6758535e-07,2.153863e-07,2.975816e-07,5.361355e-07,9.338305e-07,1.539195e-06,2.331022e-06,3.0932395e-06,3.56673325e-06
17,"CumDeath",2.30437275e-07,3.0047085e-07,4.050873e-07,6.936065e-07,1.17138e-06,1.8610825e-06,2.747834e-06,3.6983545e-06,4.35234775e-06
18,"CumDeath",3.06183925e-07,3.9931055e-07,5.2521e-07,8.7008225e-07,1.445005e-06,2.217165e-06,3.194548e-06,4.2287475e-06,4.926543e-06
19,"CumDeath",4.08266375e-07,5.3032975e-07,6.729888e-07,1.062675e-06,1.736365e-06,2.6080575e-06,3.758514e-06,4.7637395e-06,5.81927e-06
20,"CumDeath",5.25066625e-07,6.7129395e-07,8.431497e-07,1.2903125e-06,2.057935e-06,3.0148875e-06,4.356695e-06,5.37303149999999e-06,6.73288975e-06
21,"CumDeath",6.58152e-07,8.35318e-07,1.039509e-06,1.55775e-06,2.430105e-06,3.5944075e-06,5.072843e-06,6.23276e-06,7.6703405e-06
22,"CumDeath",8.466927e-07,1.023199e-06,1.273464e-06,1.8601775e-06,2.82686e-06,4.12503e-06,5.783045e-06,7.3377e-06,8.6892405e-06
23,"CumDeath",1.09812975e-06,1.2457665e-06,1.586204e-06,2.254635e-06,3.30066e-06,4.7760825e-06,6.559332e-06,8.28089099999999e-06,9.80765749999999e-06
24,"CumDeath",1.35101025e-06,1.5247695e-06,1.897353e-06,2.66457e-06,3.799545e-06,5.44892e-06,7.395244e-06,9.35025699999999e-06,1.1103275e-05
25,"CumDeath",1.64079825e-06,1.8604e-06,2.274741e-06,3.1258775e-06,4.351045e-06,6.17829e-06,8.247168e-06,1.025362e-05,1.249712e-05
26,"CumDeath",2.013083e-06,2.248071e-06,2.724452e-06,3.6637e-06,4.999855e-06,7.0114275e-06,9.273118e-06,1.155464e-05,1.37835425e-05
27,"CumDeath",2.4401135e-06,2.739231e-06,3.165986e-06,4.2381525e-06,5.727385e-06,7.88611e-06,1.044351e-05,1.271966e-05,1.51568125e-05
28,"CumDeath",2.84430125e-06,3.255572e-06,3.736827e-06,4.86282e-06,6.55301e-06,8.823115e-06,1.172428e-05,1.3948535e-05,1.6697485e-05
29,"CumDeath",3.36603525e-06,3.8277615e-06,4.399659e-06,5.57457e-06,7.41654e-06,9.891005e-06,1.30944e-05,1.52498e-05,1.845543e-05
30,"CumDeath",3.959024e-06,4.478633e-06,5.098141e-06,6.4165e-06,8.38886e-06,1.1068925e-05,1.457474e-05,1.6855735e-05,2.06216725e-05
31,"CumDeath",4.57201375e-06,5.233233e-06,5.827149e-06,7.180205e-06,9.383205e-06,1.22596e-05,1.614912e-05,1.8138415e-05,2.2334085e-05
32,"CumDeath",5.283696e-06,6.022159e-06,6.742739e-06,8.25252e-06,1.051855e-05,1.34931e-05,1.777925e-05,1.9782095e-05,2.40657025e-05
33,"CumDeath",6.044692e-06,6.8393755e-06,7.639708e-06,9.2655775e-06,1.169775e-05,1.4822225e-05,1.926232e-05,2.179564e-05,2.58232225e-05
34,"CumDeath",6.75875925e-06,7.7477805e-06,8.545179e-06,1.0305475e-05,1.28964e-05,1.6177775e-05,2.082469e-05,2.3742325e-05,2.760442e-05
35,"CumDeath",7.61142675e-06,8.667766e-06,9.646866e-06,1.145855e-05,1.416645e-05,1.759015e-05,2.249421e-05,2.5663815e-05,2.95641225e-05
36,"CumDeath",8.422221e-06,9.5662855e-06,1.067174e-05,1.2602775e-05,1.55378e-05,1.903945e-05,2.414862e-05,2.750515e-05,3.16336475e-05
37,"CumDeath",9.27902125e-06,1.042379e-05,1.159261e-05,1.3798975e-05,1.68131e-05,2.05909e-05,2.585128e-05,2.9352205e-05,3.38994225e-05
38,"CumDeath",1.01262075e-05,1.146078e-05,1.277063e-05,1.49475e-05,1.819875e-05,2.23202e-05,2.760254e-05,3.1377155e-05,3.58851025e-05
39,"CumDeath",1.09683575e-05,1.243977e-05,1.389552e-05,1.6282075e-05,1.956705e-05,2.3926075e-05,2.947651e-05,3.3701595e-05,3.755011e-05
40,"CumDeath",1.188618e-05,1.3455435e-05,1.488841e-05,1.75557e-05,2.096165e-05,2.550985e-05,3.127205e-05,3.608518e-05,3.9391165e-05
41,"CumDeath",1.29394575e-05,1.4293015e-05,1.589851e-05,1.8934e-05,2.22889e-05,2.71075e-05,3.305963e-05,3.845421e-05,4.14154325e-05
42,"CumDeath",1.39422025e-05,1.5151935e-05,1.702128e-05,2.0256025e-05,2.37996e-05,2.86558e-05,3.475342e-05,4.0803715e-05,4.342714e-05
43,"CumDeath",1.4818195e-05,1.6014245e-05,1.799087e-05,2.1379125e-05,2.52438e-05,3.0199525e-05,3.671077e-05,4.263887e-05,4.5606855e-05
44,"CumDeath",1.56286725e-05,1.6747725e-05,1.911794e-05,2.2416925e-05,2.662065e-05,3.1701275e-05,3.826331e-05,4.4497785e-05,4.7792475e-05
45,"CumDeath",1.6411965e-05,1.775944e-05,2.023955e-05,2.3600825e-05,2.79078e-05,3.3204875e-05,4.002629e-05,4.700214e-05,4.98759325e-05
46,"CumDeath",1.74220725e-05,1.875131e-05,2.117404e-05,2.469995e-05,2.921825e-05,3.4765325e-05,4.142871e-05,4.8981385e-05,5.21271175e-05
47,"CumDeath",1.8386485e-05,1.965705e-05,2.214014e-05,2.570015e-05,3.05392e-05,3.6022125e-05,4.298684e-05,5.0894605e-05,5.4032905e-05
48,"CumDeath",1.926188e-05,2.0557325e-05,2.303734e-05,2.674115e-05,3.18108e-05,3.751625e-05,4.470439e-05,5.2904095e-05,5.535916e-05
49,"CumDeath",2.009454e-05,2.145557e-05,2.402685e-05,2.7723e-05,3.308045e-05,3.8887325e-05,4.638002e-05,5.444571e-05,5.67227325e-05
50,"CumDeath",2.091229e-05,2.247422e-05,2.493992e-05,2.87876e-05,3.42655e-05,4.0189425e-05,4.808706e-05,5.6005545e-05,5.864959e-05
51,"CumDeath",2.17046425e-05,2.3221475e-05,2.590103e-05,2.983015e-05,3.54644e-05,4.1473225e-05,4.95747e-05,5.7679245e-05,6.071011e-05
52,"CumDeath",2.24224025e-05,2.4080705e-05,2.681981e-05,3.08184e-05,3.65944e-05,4.2724425e-05,5.087345e-05,5.9244195e-05,6.2685105e-05
53,"CumDeath",2.313399e-05,2.493667e-05,2.766157e-05,3.1707625e-05,3.768495e-05,4.4062675e-05,5.234185e-05,6.060414e-05,6.45132775e-05
54,"CumDeath",2.38614e-05,2.5783385e-05,2.848463e-05,3.2586625e-05,3.88349e-05,4.51683e-05,5.38766e-05,6.1841185e-05,6.5920975e-05
55,"CumDeath",2.46371075e-05,2.66171e-05,2.934005e-05,3.3471375e-05,3.98413e-05,4.62291e-05,5.526042e-05,6.2861805e-05,6.71063425e-05
56,"CumDeath",2.54045575e-05,2.743728e-05,3.023888e-05,3.4378e-05,4.08559e-05,4.7296075e-05,5.623893e-05,6.4099805e-05,6.8221715e-05
57,"CumDeath",2.61802025e-05,2.8176245e-05,3.107605e-05,3.5156975e-05,4.186825e-05,4.837475e-05,5.737964e-05,6.512459e-05,6.92941425e-05
