Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	99.4684	17.5924	6.31164	1.7431	0.0395404	0.537119	0.720477	0.521781	18.4686	4.52314	0.349452	0.16471	4.67467	6.85137	30.9415	0.38281	45.2217	14.4664	0.111646	16.6118
1	116.788	8.6239	2.05783	19.088	6.20094	10.3006	0.01617	101.156	9.71385	7.17653	1.6009	0.569588	0.93024	0.746752	0.487134	15.9858	3.33856	0.190331	0.125386	2.76861	2.86709	32.4411	0.958401	24.3177	0.16057	1.14638	116.788
2	1558.96	9.96419	3.63211	14.7217	3.22419	9.56959	0.00756213	150.942	23.1256	5.17922	2.9198	0.564025	0.335772	0.754065	0.336152	18.2153	3.63732	0.420458	0.230808	3.58255	6.07915	36.2784	0.851848	37.9094	21.771	4.02549	1558.96
3	1260.55	15.251	3.3318	15.5461	4.07872	6.21734	0.00990051	119.865	15.1767	6.3756	2.91581	0.408671	0.792948	0.727731	0.422356	18.1465	3.72874	0.541171	0.694389	7.79006	6.09323	29.4987	0.643258	44.767	0.147824	1.12572	1260.55
4	4309.16	8.53286	1.52616	8.38981	5.7631	9.41888	0.016644	99.7273	30.913	9.40721	1.86717	0.483687	0.400297	0.635124	0.265532	22.0035	3.61773	0.294634	0.140165	4.73968	9.8084	27.2273	0.578998	53.8587	3.77252	4.6474	4309.16
5	3481.57	15.1026	2.10704	16.6682	4.40493	5.09423	0.0219764	118.536	39.1059	4.51455	2.2069	0.26839	0.858747	0.697172	0.778326	18.6589	2.6409	0.332824	0.113702	6.34715	7.16766	47.2418	0.836437	45.2714	1.35841	0.90302	3481.57
6	171.103	14.8669	2.78678	12.9302	3.53921	12.8526	0.00528185	101.548	37.2139	10.6302	1.50588	0.472062	0.594615	0.69053	0.718731	21.0918	4.53608	0.24767	0.0542206	2.20684	7.57937	21.4299	0.665276	37.2702	0.206013	1.73351	171.103
7	155.445	18.4175	3.43444	10.9107	3.95838	12.3519	0.0565991	109.225	24.8152	9.67843	2.07306	0.394869	0.573719	0.717412	0.706552	17.1734	3.53808	0.340896	0.247236	3.96894	8.05419	25.7116	1.11802	47.9475	0.119485	0.940076	155.445
8	4051.18	16.4993	2.99613	14.2667	3.44764	16.0437	0.0150414	151.012	24.2839	6.68044	1.14581	0.448322	0.577863	0.830483	0.263143	15.7177	2.87787	0.30647	0.42504	9.32795	9.10772	22.2744	0.666956	55.1823	0.182871	0.373451	4051.18
9	353.244	7.00782	2.671	14.9467	4.36454	6.86224	0.0152232	123.208	40.423	11.6886	2.52015	0.211945	0.448137	0.732292	0.646897	21.469	5.37203	0.173733	0.408541	12.7169	4.97344	27.7352	0.819112	39.3725	1.30755	0.716035	353.244
10	1839.33	15.2672	2.61986	7.4828	4.38886	12.5835	0.0105926	103.558	34.2877	11.1172	2.12088	0.408036	0.638599	0.877091	0.36649	17.1119	4.71788	0.120241	0.473066	2.27943	7.81965	27.5119	0.44843	62.534	13.029	1.39331	1839.33
11	1822.9	10.8523	3.19241	12.9101	5.50046	12.3107	0.00667404	125.469	35.8044	6.16016	2.68818	0.0610715	0.0239274	0.76465	0.473431	18.228	5.33914	0.13593	0.166024	6.06125	7.08068	25.6942	0.40371	53.8219	27.9361	0.148224	1822.9
12	669.568	18.4444	1.92071	7.4876	3.37515	7.33347	0.00615807	133.56	21.1015	7.43428	1.97428	0.208062	0.873257	0.665848	0.122418	18.7441	4.25796	0.819766	0.193968	5.81454	5.98911	33.6313	0.63499	41.9613	0.247001	1.83489	669.568
13	1781.64	16.7829	3.98586	15.3793	4.48987	5.97329	0.00799324	164.091	24.1819	3.442	2.86868	0.180488	0.59243	0.896631	0.70019	17.7742	1.36316	0.511005	0.269762	2.01533	1.86184	29.6995	0.221034	62.0203	0.377008	7.34539	1781.64
14	12.2305	16.8816	1.93441	11.5617	2.91362	10.3992	0.017074	82.8139	4.84828	5.88828	1.29979	0.325451	0.541876	0.703541	0.494846	19.8441	5.49216	0.577494	0.301615	2.80247	5.66828	21.4999	0.300261	42.5855	9.35427	34.5928	12.2305
15	2222.88	19.5088	3.14138	8.39942	3.46974	11.896	0.00455216	62.3995	10.8416	9.38561	1.00826	0.13408	0.473703	0.848745	0.460146	19.785	2.68691	0.58348	0.0565415	13.4977	6.6254	42.7054	0.865659	44.6314	9.72346	2.85977	2222.88
16	1696.92	13.5859	2.94212	19.577	4.31887	16.2372	0.00410901	60.0666	28.6412	6.25747	2.17688	0.410312	0.387594	0.762506	0.399415	19.2032	6.202	0.681482	0.338337	3.41233	5.47287	50.0376	0.787797	63.9693	1.00002	0.269155	1696.92
17	14.597	13.2568	2.39275	16.5178	5.06554	8.89506	0.0139035	153.534	37.5486	6.28904	2.62013	0.304602	0.685814	0.637327	0.630023	20.6628	4.11754	0.211232	0.589893	10.7148	3.97145	30.4318	0.528438	62.4628	1.99019	7.07743	14.597
18	199.933	12.9053	1.55518	18.4678	3.34229	8.16992	0.00412457	97.7547	24.2472	4.98685	1.53943	0.258169	0.507367	0.756873	0.0987297	16.132	3.37151	0.228301	0.245472	3.53134	4.69678	30.752	0.377623	64.9667	12.7588	5.30997	199.933
19	5.18247	12.9951	2.97803	16.9569	4.72298	9.16267	0.00703665	157.95	6.67698	6.01794	1.63068	0.058011	0.841431	0.884419	0.62173	21.5262	4.63041	0.517327	0.193581	7.88817	4.50899	37.3848	0.582375	42.9671	13.8811	0.24365	5.18247
20	1288.38	8.3813	3.82692	19.8663	5.37955	10.1407	0.0143652	94.5901	15.6693	5.7984	2.07528	0.0683895	0.608078	0.607467	0.395858	15.4962	4.64688	0.404302	0.262989	9.40423	5.00404	26.0288	0.649549	53.1845	0.250619	0.528458	1288.38
21	1037.92	16.7619	2.74567	7.39173	6.33709	12.0798	0.0173194	111.794	26.3519	7.47194	2.81414	0.204775	0.200706	0.734587	0.663876	16.6649	4.6918	0.494496	0.603565	9.00168	7.74981	29.8646	0.330597	50.1046	29.3999	0.714143	1037.92
