Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	99.4684	17.5924	6.31164	1.7431	0.0395404	0.537119	0.720477	0.516615	18.3914	4.79215	0.349452	0.16471	4.67467	6.85137	32.8091	0.343052	40.4099	14.4664	0.111646	16.6118
1	116.788	8.6239	2.05783	19.088	6.20094	10.3006	0.01617	101.156	9.71385	7.17653	1.6009	0.569588	0.93024	0.746752	0.482102	16.1532	3.76833	0.190331	0.125386	2.76861	2.86709	34.2696	0.840276	15.0974	0.16057	1.14638	116.788
2	1558.96	9.96419	3.63211	14.7217	3.22419	9.56959	0.00756213	150.942	23.1256	5.17922	2.9198	0.564025	0.335772	0.754065	0.331705	18.1631	4.02654	0.420458	0.230808	3.58255	6.07915	38.0069	0.74823	31.5554	21.771	4.02549	1558.96
3	1260.55	15.251	3.3318	15.5461	4.07872	6.21734	0.00990051	119.865	15.1767	6.3756	2.91581	0.408671	0.792948	0.727731	0.417575	18.101	4.10555	0.541171	0.694389	7.79006	6.09323	31.404	0.56804	39.8594	0.147824	1.12572	1260.55
4	4309.16	8.53286	1.52616	8.38981	5.7631	9.41888	0.016644	99.7273	30.913	9.40721	1.86717	0.483687	0.400297	0.635124	0.26136	21.5781	4.00961	0.294634	0.140165	4.73968	9.8084	29.1917	0.512529	50.8684	3.77252	4.6474	4309.16
5	3481.57	15.1026	2.10704	16.6682	4.40493	5.09423	0.0219764	118.536	39.1059	4.51455	2.2069	0.26839	0.858747	0.697172	0.772166	18.563	3.16535	0.332824	0.113702	6.34715	7.16766	48.6845	0.734917	40.4702	1.35841	0.90302	3481.57
6	171.103	14.8669	2.78678	12.9302	3.53921	12.8526	0.00528185	101.548	37.2139	10.6302	1.50588	0.472062	0.594615	0.69053	0.712802	20.7561	4.80333	0.24767	0.0542206	2.20684	7.57937	23.5455	0.58706	30.7815	0.206013	1.73351	171.103
7	155.445	18.4175	3.43444	10.9107	3.95838	12.3519	0.0565991	109.225	24.8152	9.67843	2.07306	0.394869	0.573719	0.717412	0.70067	17.2238	3.94077	0.340896	0.247236	3.96894	8.05419	27.7156	0.978162	43.7106	0.119485	0.940076	155.445
8	4051.18	16.4993	2.99613	14.2667	3.44764	16.0437	0.0150414	151.012	24.2839	6.68044	1.14581	0.448322	0.577863	0.830483	0.258979	15.9115	3.37015	0.30647	0.42504	9.32795	9.10772	24.368	0.588511	52.4711	0.182871	0.373451	4051.18
9	353.244	7.00782	2.671	14.9467	4.36454	6.86224	0.0152232	123.208	40.423	11.6886	2.52015	0.211945	0.448137	0.732292	0.641246	21.0962	5.52582	0.173733	0.408541	12.7169	4.97344	29.6864	0.719951	33.3272	1.30755	0.716035	353.244
10	1839.33	15.2672	2.61986	7.4828	4.38886	12.5835	0.0105926	103.558	34.2877	11.1172	2.12088	0.408036	0.638599	0.877091	0.361926	17.1684	4.96045	0.120241	0.473066	2.27943	7.81965	29.4689	0.399737	61.3734	13.029	1.39331	1839.33
11	1822.9	10.8523	3.19241	12.9101	5.50046	12.3107	0.00667404	125.469	35.8044	6.16016	2.68818	0.0610715	0.0239274	0.76465	0.468453	18.1745	5.4974	0.13593	0.166024	6.06125	7.08068	27.6986	0.361107	50.8239	27.9361	0.148224	1822.9
12	669.568	18.4444	1.92071	7.4876	3.37515	7.33347	0.00615807	133.56	21.1015	7.43428	1.97428	0.208062	0.873257	0.665848	0.1188	18.6398	4.56295	0.819766	0.193968	5.81454	5.98911	35.4288	0.560897	36.4619	0.247001	1.83489	669.568
13	1781.64	16.7829	3.98586	15.3793	4.48987	5.97329	0.00799324	164.091	24.1819	3.442	2.86868	0.180488	0.59243	0.896631	0.694333	17.7655	2.06101	0.511005	0.269762	2.01533	1.86184	31.5995	0.203301	60.7513	0.377008	7.34539	1781.64
14	12.2305	16.8816	1.93441	11.5617	2.91362	10.3992	0.017074	82.8139	4.84828	5.88828	1.29979	0.325451	0.541876	0.703541	0.489784	19.6314	5.62965	0.577494	0.301615	2.80247	5.66828	23.6137	0.271742	37.2178	9.35427	34.5928	12.2305
15	2222.88	19.5088	3.14138	8.39942	3.46974	11.896	0.00455216	62.3995	10.8416	9.38561	1.00826	0.13408	0.473703	0.848745	0.455219	19.5781	3.20512	0.58348	0.0565415	13.4977	6.6254	21.9411	0.334455	58.4737	17.4137	0.279753	2222.88
