"","state","mu_C","mu_Lambda","DeltaDelta","scenarioname","scenariodesc","p95.cases.train","p95.deaths.train","p95.cases.valid","p95.deaths.valid"
"1","AL",1,1,0,"Validation","Validation",0.930232558139535,0.953488372093023,1,0.980392156862745
"2","AK",1,1,0,"Validation","Validation",0.976190476190476,1,0.470588235294118,0.96078431372549
"3","AZ",1,1,0,"Validation","Validation",0.976744186046512,0.953488372093023,1,0.901960784313726
"4","AR",1,1,0,"Validation","Validation",0.953488372093023,1,0.823529411764706,0.980392156862745
"5","CA",1,1,0,"Validation","Validation",0.930232558139535,0.976744186046512,1,0.901960784313726
"6","CO",1,1,0,"Validation","Validation",0.930232558139535,0.952380952380952,1,0.775510204081633
"7","CT",1,1,0,"Validation","Validation",0.906976744186046,0.953488372093023,0.96,0.980392156862745
"8","DE",1,1,0,"Validation","Validation",0.906976744186046,1,1,0.529411764705882
"9","DC",1,1,0,"Validation","Validation",0.930232558139535,1,0.96078431372549,0.92156862745098
"10","FL",1,1,0,"Validation","Validation",0.953488372093023,0.953488372093023,0.901960784313726,0.92156862745098
"11","GA",1,1,0,"Validation","Validation",0.930232558139535,0.953488372093023,1,0.96078431372549
"12","HI",1,1,0,"Validation","Validation",0.976744186046512,1,0.693877551020408,1
"13","ID",1,1,0,"Validation","Validation",1,1,0.784313725490196,0.98
"14","IL",1,1,0,"Validation","Validation",0.953488372093023,0.953488372093023,0.784313725490196,0.843137254901961
"15","IN",1,1,0,"Validation","Validation",0.883720930232558,0.953488372093023,0.549019607843137,0.705882352941177
"16","IA",1,1,0,"Validation","Validation",0.930232558139535,0.976744186046512,0.392156862745098,0.568627450980392
"17","KS",1,1,0,"Validation","Validation",1,0.976190476190476,0.549019607843137,0.529411764705882
"18","KY",1,1,0,"Validation","Validation",0.953488372093023,0.930232558139535,0.784313725490196,0.862745098039216
"19","LA",1,1,0,"Validation","Validation",0.953488372093023,0.976744186046512,0.76,0.823529411764706
"20","ME",1,1,0,"Validation","Validation",0.976744186046512,1,0.862745098039216,0.96078431372549
"21","MD",1,1,0,"Validation","Validation",0.976744186046512,1,0.980392156862745,0.92156862745098
"22","MA",1,1,0,"Validation","Validation",0.930232558139535,0.953488372093023,0.882352941176471,0.980392156862745
"23","MI",1,1,0,"Validation","Validation",0.976744186046512,1,0.686274509803922,0.313725490196078
"24","MN",1,1,0,"Validation","Validation",1,0.976744186046512,0.352941176470588,0.196078431372549
"25","MS",1,1,0,"Validation","Validation",0.953488372093023,0.976744186046512,0.843137254901961,0.803921568627451
"26","MO",1,1,0,"Validation","Validation",0.953488372093023,0.976744186046512,1,0.92156862745098
"27","MT",1,1,0,"Validation","Validation",0.976744186046512,0.976744186046512,0.448979591836735,0.92156862745098
"28","NE",1,1,0,"Validation","Validation",0.976744186046512,1,0.784313725490196,0.78
"29","NV",1,1,0,"Validation","Validation",0.976744186046512,1,0.96078431372549,0.980392156862745
"30","NH",1,1,0,"Validation","Validation",0.906976744186046,0.976744186046512,0.980392156862745,0.980392156862745
"31","NJ",1,1,0,"Validation","Validation",0.953488372093023,0.953488372093023,0.941176470588235,0.92156862745098
"32","NM",1,1,0,"Validation","Validation",0.930232558139535,1,0.980392156862745,0.980392156862745
"33","NY",1,1,0,"Validation","Validation",0.976744186046512,0.930232558139535,0.96078431372549,0.980392156862745
"34","NC",1,1,0,"Validation","Validation",0.953488372093023,1,0.980392156862745,0.901960784313726
"35","ND",1,1,0,"Validation","Validation",0.953488372093023,1,0.92,0.959183673469388
"36","OH",1,1,0,"Validation","Validation",0.930232558139535,0.953488372093023,1,0.92156862745098
"37","OK",1,1,0,"Validation","Validation",0.953488372093023,0.976744186046512,0.980392156862745,1
"38","OR",1,1,0,"Validation","Validation",0.906976744186046,0.976744186046512,0.980392156862745,1
"39","PA",1,1,0,"Validation","Validation",0.976744186046512,0.952380952380952,0.96078431372549,0.92156862745098
"40","RI",1,1,0,"Validation","Validation",0.930232558139535,0.976190476190476,1,0.862745098039216
"41","SC",1,1,0,"Validation","Validation",1,1,1,1
"42","SD",1,1,0,"Validation","Validation",0.976744186046512,1,0.470588235294118,0.862745098039216
"43","TN",1,1,0,"Validation","Validation",0.953488372093023,0.976190476190476,0.96078431372549,1
"44","TX",1,1,0,"Validation","Validation",0.953488372093023,0.976744186046512,1,0.901960784313726
"45","UT",1,1,0,"Validation","Validation",0.976744186046512,0.976744186046512,1,0.980392156862745
"46","VT",1,1,0,"Validation","Validation",0.930232558139535,1,0.68,0.980392156862745
"47","VA",1,1,0,"Validation","Validation",0.953488372093023,0.952380952380952,0.980392156862745,0.843137254901961
"48","WA",1,1,0,"Validation","Validation",0.976744186046512,0.976744186046512,0.941176470588235,0.94
"49","WV",1,1,0,"Validation","Validation",0.975609756097561,1,0.862745098039216,0.980392156862745
"50","WI",1,1,0,"Validation","Validation",0.976744186046512,0.976744186046512,1,0.92
"51","WY",1,1,0,"Validation","Validation",0.976744186046512,0.976744186046512,1,1
