Iter	GM_NInit	GM_TIsolation	GM_R0	GM_c0	GM_TLatent	GM_TRecover	GM_IFR	GM_T50Testing	GM_TauTesting	GM_TTestingRate	GM_TContactsTestingRate	GM_FAsymp	GM_TestingCoverage	GM_TestSensitivity	GM_ThetaMin	GM_TauTheta	GM_PwrTheta	GM_HygienePwr	GM_FracTraced	GM_TPosTest	GM_TFatalDeath	GM_TauS	GM_rMax	GM_TauR	alpha_Pos	alpha_Death	NInit_1.1
0	16.6118	19.4955	2.19296	14.8711	3.81479	9.11486	0.0228352	75.8007	5.9088	3.99448	2.35718	0.0857998	0.178003	0.651506	0.6029	19.766	4.34666	0.141873	0.51497	8.92788	5.47278	24.3791	0.693903	66.5578	2.69486	39.2822	16.6118
1	9.40867	8.52073	3.36704	11.9071	3.53608	19.2549	0.00526137	97.2581	5.83049	6.70874	2.09648	0.119204	0.779437	0.624828	0.134437	15.8313	2.75905	0.0742598	0.0522454	8.00106	6.23936	22.5253	0.735855	37.6375	37.8771	0.119667	9.40867
2	8681.55	11.3583	3.16858	10.9843	4.15183	7.45121	0.0153161	96.1876	9.9813	6.45169	2.06519	0.258866	0.604873	0.697023	0.821219	16.4641	3.70694	0.254668	0.533463	1.74133	1.12833	35.5709	0.599613	42.5282	16.1656	2.63698	8681.55
3	2718.39	13.7836	2.63743	12.5697	4.32845	12.9781	0.00416176	62.4366	7.72474	8.52766	1.99127	0.294381	0.33567	0.707872	0.336488	19.1895	3.18023	0.383542	0.110642	3.60408	2.40367	23.8272	0.798447	51.2919	1.468	0.104744	2718.39
4	939.812	7.52009	2.74786	16.172	2.23867	7.98251	0.00523025	79.3577	12.2546	4.19639	1.82775	0.216999	0.450219	0.657889	0.871575	20.0057	3.63479	0.382236	0.095745	5.64847	3.76343	28.7446	0.239456	41.7307	0.381171	2.28416	939.812
5	2902.69	8.44398	2.475	16.2831	3.20711	11.6617	0.0224668	89.8327	9.69023	8.67495	2.39504	0.166591	0.496354	0.617152	0.465845	16.1479	4.68794	0.467446	0.2198	4.92997	3.52304	27.9581	0.737915	49.6044	0.543418	0.657234	2902.69
6	172.026	12.3157	3.90408	12.2938	5.05117	10.1394	0.0355334	80.5184	6.57761	9.64608	1.73457	0.412347	0.259303	0.601899	0.803936	19.6549	2.86283	0.611144	0.818217	5.2336	3.23598	47.8475	1.0245	64.2845	0.790183	2.32358	172.026
7	1078.86	9.22736	3.53543	10.1332	3.69386	6.558	0.0106246	82.426	11.0185	4.57473	2.76111	0.173113	0.866219	0.727251	0.698881	13.9881	6.91692	0.313194	0.109757	7.89793	12.9004	22.5259	0.450321	50.4831	0.565277	27.7432	1078.86
8	150.961	13.8829	4.07887	10.3685	3.98396	16.459	0.00566991	64.3219	10.9331	4.72553	1.03374	0.37637	0.621589	0.744092	0.548829	20.3102	5.08266	0.385891	0.419848	5.78107	13.1206	49.0463	0.705704	44.8396	7.97468	0.980993	150.961
9	2834.51	14.4643	2.71449	11.5834	4.62509	13.0039	0.0152153	63.7784	9.29702	8.24261	1.2545	0.522469	0.625066	0.81622	0.734041	17.6284	3.86714	0.334897	0.653998	9.69301	6.72173	41.3631	0.420611	50.9667	0.270266	37.9044	2834.51
